symbol,target_weight
7267.T,0.0
9501.T,0.0
5401.T,0.0
8604.T,0.0
9432.T,0.0
4755.T,0.0
5020.T,0.0
7201.T,0.0
9434.T,0.0
7733.T,0.0
4005.T,0.0
7261.T,0.0
2801.T,0.0
7211.T,0.0
6471.T,0.0
