ts,symbol,side,qty,price,fee,external_ref
2026-04-06 14:30,4005.T,BUY,100,528.8,0,MANUAL-ENTRY-001
2026-04-06 14:30,9432.T,BUY,400,156.9,0,MANUAL-ENTRY-002
2026-04-06 14:30,7267.T,BUY,100,1259.5,0,MANUAL-ENTRY-003
