mode,final_equity,total_return_pct,max_drawdown_pct
ridge,1288631.1169396173,28.86311169396173,-11.822158584366449
shadow_ic,763937.992488752,-23.6062007511248,-28.290181793148072
shadow_eq,763407.6150591103,-23.659238494088967,-28.31514766418821
