symbol,target_weight
8306.T,0.012361218960247035
7011.T,0.007250815610681603
6758.T,0.0033079440333081992
7203.T,0.01978815124572578
6501.T,0.00402048005320181
1605.T,0.02220337858106274
7267.T,0.008060141635957148
6702.T,0.005110096917240064
8001.T,0.012622979759865127
4568.T,0.009687162079654758
9433.T,0.018873444236323183
6752.T,0.012082846588350139
9107.T,0.02261322982892699
9432.T,0.01110932483844777
8591.T,0.01487133596853903
7269.T,0.007067717157342987
4901.T,0.004970218332283336
8725.T,0.01452850641411331
8801.T,0.0070965835268958595
4503.T,0.014440246150247523
8604.T,0.014772517946346478
8802.T,0.006084180392779782
8267.T,0.008295753324414401
3382.T,0.010547130115924409
7270.T,0.008055040154470667
4661.T,0.010149895753432352
9201.T,0.008335056379570525
9434.T,0.008854235852097868
7751.T,0.009215975107965091
7733.T,0.009371750137619445
9202.T,0.014201330863905038
5020.T,0.01777774329195365
6988.T,0.006614020936035889
8830.T,0.01600451383221964
2503.T,0.015838688981942493
5411.T,0.009256844880674452
9020.T,0.008558763801139029
7832.T,0.004519812135422479
6506.T,0.0027529322639181695
8697.T,0.014607181015974424
3659.T,0.01717916220123218
6326.T,0.011672953281410561
9503.T,0.015891376834330558
2502.T,0.007543514263790189
9502.T,0.006515526059560265
5401.T,0.012502058705543535
9501.T,0.007370024061946363
6723.T,0.006319093187305267
4755.T,0.007025615993862365
7201.T,0.009727149369197254
