symbol,mom_consist,mom_consist_pctile,high52w,vol_z,fundamental_score,sprint_score,entry_ok,hold_ok
4005.T,0.5238095238095238,0.6636259977194983,-0.10549454676933645,-1.2992587370669968,1.0,0.5725245713690614,False,False
2492.T,0.5079365079365079,0.5400988217407829,-0.03696098562628336,-0.8499859889862665,1.0,0.440320503765497,False,False
2127.T,0.49206349206349204,0.43519574306347397,-0.12026984856338496,-0.8879163167327303,1.0,0.4199033200776125,False,False
2656.T,0.4603174603174603,0.25465602432535156,-0.09302325581395354,-0.22885149177507888,0.6,0.19871523209286188,False,False
2181.T,0.4126984126984127,0.08209806157354618,-0.17534426930698366,-0.21052316373167604,1.0,0.14929243570770168,False,False
9434.T,0.5079365079365079,0.6271379703534777,-0.09116693566361667,0.24073692997968632,1.0,0.05867754743106831,False,False
2354.T,0.4444444444444444,0.1797795515013303,-0.0033039647577092213,0.5702192234674944,1.0,-0.043026247926919746,False,False
2337.T,0.4603174603174603,0.250095020904599,0.0,0.8137913966273881,1.0,-0.1178246454366426,False,False
4755.T,0.47619047619047616,0.3690611934625618,-0.20965911402846826,0.828839493672361,0.84,-0.18743604383678436,False,False
8714.T,0.49206349206349204,0.515773470163436,-0.06306306306306309,1.7645450385865187,1.0,-0.4451815365286966,False,False
