date,strategy_equity,7201.T_price_norm,9501.T_price_norm,7267.T_price_norm
2023-05-02,0.9874408964316868,1.0,1.0,1.0
2023-05-08,0.9914707923796242,1.0013992101099074,1.0061728395061729,0.9972383764471905
2023-05-09,1.0055866737272805,1.0213872057165314,1.0205761316872428,1.0102181417821168
2023-05-10,0.9987330482389992,1.0137918178034582,1.0123456790123457,1.0088373300057119
2023-05-11,0.9877931800749367,1.0109933975836431,1.0,0.9892293988705999
2023-05-12,1.0185234962370462,1.064361396270773,1.0267489711934157,1.0331400436200537
2023-05-15,1.0284436042692726,1.0249850575300847,1.0493827160493827,1.0353493200228479
2023-05-16,1.0465437019255226,1.0233860682989986,1.0740740740740742,1.049433779657805
2023-05-17,1.0214062324431008,1.008594976758819,1.0390946502057614,1.0568901856898443
2023-05-18,0.9905723335173195,1.0141915651112297,0.9897119341563786,1.0748412997694459
2023-05-19,0.9838125221159524,1.0225865106616507,0.977366255144033,1.0787075054250184
2023-05-22,0.9914020912077492,1.0439737163781821,0.9814814814814815,1.0941727768363805
2023-05-23,0.9884339271452492,1.0415751064879435,0.977366255144033,1.0958298182864268
2023-05-24,1.0104754005339212,1.041175422201977,1.0102880658436213,1.0930681947336174
2023-05-25,1.0043257820036477,1.0393764647842978,1.0,1.103286224318466
2023-05-26,0.9924885658171242,1.0489705892362287,0.9814814814814815,1.0974868597364733
2023-05-29,0.9982500007536477,1.0491705574228216,0.9876543209876543,1.1115713193714305
2023-05-30,1.0118712562468117,1.0659605115454687,1.0020576131687242,1.124274967229983
2023-05-31,0.9984683418181007,1.0451730843451064,0.9897119341563786,1.1060479600685436
2023-06-01,1.0231827186491556,1.037777412531407,1.02880658436214,1.0985916662337722
2023-06-02,1.0544264697350918,1.0503697993461363,1.0740740740740742,1.119856414424395
2023-06-05,1.037765926137829,1.0917451267129012,1.0349794238683128,1.1557580815972583
2023-06-06,1.0277567558524525,1.0959425049554046,1.0199588728539737,1.1728803944586668
2023-06-07,1.014768123650304,1.0571657556654712,1.015020551014339,1.1491300279943404
2023-06-08,1.0373500023124136,1.046971852697371,1.0493827160493827,1.1455399398151416
2023-06-09,1.0601791191337027,1.049570304730593,1.0798353658291537,1.1734327416086823
2023-06-12,1.0291919670340932,1.0479712524777023,1.0378600697458527,1.186688848814518
2023-06-13,1.0373122368094838,1.0703579209963696,1.0415638111255787,1.2093344087815456
2023-06-14,1.0352714348075307,1.1003399144063055,1.02880658436214,1.2526925941837161
2023-06-15,1.0208466453788199,1.0847493282505827,1.0141975183055234,1.2457885353016922
2023-06-16,1.042088619255773,1.085748728030914,1.0430041026676633,1.2300468098221526
2023-06-19,1.0415709648368277,1.087947306712755,1.0415638111255787,1.2137531859816695
2023-06-20,1.0298365288016713,1.073555899458542,1.0302469386975952,1.2051918612550634
2023-06-21,1.0383913383719838,1.072956310007787,1.0421810699588476,1.2220381688373658
2023-06-22,1.0592704582450307,1.0755546990192042,1.0699588477366255,1.2190002034136467
2023-06-23,1.1092447929618277,1.0787529295685956,1.1374485345534335,1.1991163791966968
2023-06-26,1.0689090385672964,1.070757731325946,1.0847736876687886,1.188069660590923
2023-06-27,1.0617048759696401,1.0899461062734173,1.0685184934011702,1.1886218955436705
2023-06-28,1.0797347831962028,1.1111334068251606,1.0862140420042439,1.215410227431716
2023-06-29,1.091412364983312,1.157505607049972,1.0868313008375128,1.2098868681288288
2023-06-30,1.096679378571051,1.1756947082607216,1.0845678509998713,1.1988399251285191
2023-07-03,1.116654164948004,1.2056767016706575,1.1002057864342207,1.2250759098665491
2023-07-04,1.1293399681706604,1.2324605905748118,1.1045267238538452,1.2192764330872885
2023-07-05,1.1340294640202697,1.2340597058495075,1.1121399176954732,1.2245235627165336
2023-07-06,1.128441390289801,1.2136718999133072,1.1164608551150976,1.2115437973816074
2023-07-07,1.101370784821051,1.193483999141895,1.0804526246624229,1.1850319195617396
2023-07-10,1.0788212181706602,1.1631023214459923,1.0602880407262731,1.1645952994057023
2023-07-11,1.067659407867926,1.1391167267180438,1.0567900732220936,1.1554818519236165
2023-07-12,1.0653580254216368,1.143114199795759,1.0495884899249293,1.1546534994944953
2023-07-13,1.0652104698796447,1.1359184961686524,1.0545267489711934,1.156862888094557
2023-07-14,1.0435212181706601,1.1117329962759155,1.0314814563641332,1.159348281973725
2023-07-18,1.0460395744939024,1.1165300900127832,1.032716036824042,1.1654239884266273
2023-07-19,1.081237807526129,1.2022786920000876,1.036419778203768,1.203258814525911
2023-07-20,1.0872246361394102,1.2188688039797513,1.035596682701582,1.194697601996573
2023-07-21,1.0922181847233947,1.208474995846863,1.0524691358024691,1.2096105262579193
2023-07-24,1.1219350792546448,1.246851997829025,1.0802469135802468,1.231980080945841
2023-07-25,1.1525169212956603,1.3292025901457594,1.0777777526604295,1.237503440248728
2023-07-26,1.158157534088629,1.3128123833308838,1.1002057864342207,1.2247999045874434
2023-07-27,1.1631231712956602,1.2742354761839338,1.1374485345534335,1.2201048977136777
2023-07-28,1.140601186432379,1.2362582845313483,1.1228395312901878,1.2151338855608063
2023-07-31,1.1653155968327698,1.2452528825543292,1.162551440329218,1.2463407702544398
2023-08-01,1.2104700401921447,1.2908255881635975,1.213991769547325,1.268157865595078
2023-08-02,1.1705324791569884,1.2618429945339928,1.1602881160783178,1.2502070881072804
2023-08-03,1.1728889916081604,1.242654493542912,1.1786007979279192,1.2239713277637863
2023-08-04,1.1754897728581604,1.2550471012364626,1.1744855715904707,1.216514697337211
2023-08-07,1.1579326744694884,1.239256483872342,1.153086469987783,1.2151338855608063
2023-08-08,1.1747031456608947,1.2524485861814358,1.1748971193415638,1.2297709167403148
2023-08-09,1.1703576927800352,1.231861001124057,1.1816872176810056,1.2181716265899896
2023-08-10,1.183799886383551,1.2472516821149917,1.1956789621109825,1.2896989556566103
2023-08-14,1.1770940025944885,1.213471994748519,1.2076132189589763,1.2380558995960114
2023-08-15,1.1938103600163634,1.216870004419089,1.2364198033211162,1.2435790345043625
2023-08-16,1.1975071068425354,1.1968818827688554,1.257818904923804,1.21955266276093
2023-08-17,1.1839382591862853,1.178892686722894,1.2454732259114583,1.2247999045874434
2023-08-18,1.1557813255925353,1.170098119908311,1.199176929615162,1.2206572448636932
2023-08-21,1.1541393591853957,1.1686989097984033,1.2489711934156378,1.2228665212664873
2023-08-22,1.1541393591853957,1.1948832092518027,1.2576131938416282,1.2410936406251947
2023-08-23,1.1541393591853957,1.2092744904624062,1.2611111613458077,1.260425342086665
2023-08-24,1.1541393591853957,1.196082514196922,1.2547324851707176,1.2565589120365566
2023-08-25,1.1541393591853957,1.1952828935377693,1.2518519020865484,1.2466169999280816
2023-08-28,1.1541393591853957,1.2130723104625523,1.271399227189429,1.2822424374273031
