order_id,symbol,side,qty,order_type,limit_price,expected_value,status,created_ts,fill_qty,fill_notional,fee,tax,n_fills,vwap,qty_diff
2026-03-10__4e3df80ffe__001,4005.T,SELL,100.0,MKT,,49050.0,filled,2026-04-05T01:15:33,100.0,49025.475,49.025475,0.0,1,490.25475,0.0
2026-03-10__4e3df80ffe__000,5401.T,SELL,100.0,MKT,,60000.0,filled,2026-04-05T01:15:33,100.0,59970.00000000001,59.97,0.0,1,599.7,0.0
