order_id,symbol,side,qty,order_type,limit_price,expected_value,status,created_ts,fill_qty,fill_notional,fee,tax,n_fills,vwap,qty_diff
2026-03-06__8d42d10713__001,9432.T,SELL,100.0,MKT,,15110.000610351562,filled,2026-04-03T23:51:58,100.0,15102.4456,15.102446,0.0,1,151.024456,0.0
2026-03-06__8d42d10713__002,9434.T,BUY,100.0,MKT,,21060.000610351562,filled,2026-04-03T23:51:58,100.0,21070.530600000002,21.070531,0.0,1,210.705306,0.0
2026-03-06__8d42d10713__000,9501.T,SELL,100.0,MKT,,64270.001220703125,filled,2026-04-03T23:51:58,100.0,64237.8662,64.237866,0.0,1,642.378662,0.0
