symbol,target_weight,family,family_score,weighted_contribution,factor_count_configured,factor_count_active,is_active_in_mode
7832.T,0.0,price,-0.761192683518593,-0.0,15,15,True
6506.T,0.0,price,-0.4692343697699031,-0.0,15,15,True
9020.T,0.0,price,-0.10167020488960082,-0.0,15,15,True
3659.T,0.0,price,-0.0937150291920398,-0.0,15,15,True
8697.T,0.0,price,0.11727864095984532,0.0,15,15,True
6326.T,0.0,price,0.20773826952850963,0.0,15,15,True
9503.T,0.0,price,0.031224180996477977,0.0,15,15,True
2502.T,0.0,price,-0.8875784134564866,-0.0,15,15,True
9502.T,0.0,price,0.44036580449798807,0.0,15,15,True
9501.T,0.0,price,-0.471589985494466,-0.0,15,15,True
6723.T,0.0,price,-0.19615411310154932,-0.0,15,15,True
9201.T,0.0,price,-0.14983264855800266,-0.0,15,15,True
8306.T,0.0,price,0.19993954819806284,0.0,15,15,True
7011.T,0.0,price,0.3445421915090453,0.0,15,15,True
3382.T,0.0,price,-0.0010085529556628004,-0.0,15,15,True
6758.T,0.0,price,-0.6388694826708374,-0.0,15,15,True
7203.T,0.0,price,1.0105170732343232,0.0,15,15,True
6501.T,0.0,price,-0.3589050241818246,-0.0,15,15,True
1605.T,0.0,price,1.8658424260605995,0.0,15,15,True
7267.T,0.0,price,-0.2538010121642879,-0.0,15,15,True
6702.T,0.0,price,-0.6045998603254928,-0.0,15,15,True
8001.T,0.0,price,0.2334774999976093,0.0,15,15,True
4568.T,0.0,price,-0.405068665276829,-0.0,15,15,True
9433.T,0.0,price,0.19921631066567544,0.0,15,15,True
9107.T,0.0,price,1.038948681311781,0.0,15,15,True
6752.T,0.0,price,1.06416862517856,0.0,15,15,True
8591.T,0.0,price,0.09560321962303756,0.0,15,15,True
7269.T,0.0,price,-0.28619314034349747,-0.0,15,15,True
4901.T,0.0,price,-0.39760856409418693,-0.0,15,15,True
8725.T,0.0,price,0.4838812976047832,0.0,15,15,True
8801.T,0.0,price,-0.734773067930621,-0.0,15,15,True
4503.T,0.0,price,1.115109480991845,0.0,15,15,True
8802.T,0.0,price,0.2589577049190002,0.0,15,15,True
8604.T,0.0,price,0.2201545533897897,0.0,15,15,True
8267.T,0.0,price,-0.6590011186875634,-0.0,15,15,True
7270.T,0.0,price,-0.3674068498652258,-0.0,15,15,True
4661.T,0.0,price,-0.3701255805044919,-0.0,15,15,True
9434.T,0.0513063317059985,price,-0.032613282361535934,-0.0016732678828623527,15,15,True
9432.T,0.033188102591096,price,-0.16660302830413992,-0.005529238395345067,15,15,True
7201.T,0.0897989606195174,price,-0.1031160708613126,-0.009259715986514375,15,15,True
5401.T,0.1517945769158664,price,-0.17040567427150558,-0.02586665723010613,15,15,True
4755.T,0.1558733889866734,price,-0.8368853237440285,-0.13044815160519105,15,15,True
9434.T,0.0513063317059985,risk_adjusted,0.6310261186614471,0.032375635359192974,4,4,True
9432.T,0.033188102591096,risk_adjusted,0.4423054451004961,0.014679278488595645,4,4,True
7201.T,0.0897989606195174,risk_adjusted,0.057407557947983745,0.0051551390354336556,4,4,True
5411.T,0.0,risk_adjusted,-0.21048464163463249,-0.0,4,4,True
7751.T,0.0,risk_adjusted,0.4322538765327265,0.0,4,4,True
7733.T,0.0,risk_adjusted,-0.5761557356875829,-0.0,4,4,True
5020.T,0.0,risk_adjusted,0.7470008418912827,0.0,4,4,True
9202.T,0.0,risk_adjusted,-0.16122245908096186,-0.0,4,4,True
6988.T,0.0,risk_adjusted,-0.854517165594211,-0.0,4,4,True
2503.T,0.0,risk_adjusted,0.474123233718742,0.0,4,4,True
8830.T,0.0,risk_adjusted,0.40103342394917046,0.0,4,4,True
7832.T,0.0,risk_adjusted,-0.21989692900919416,-0.0,4,4,True
6506.T,0.0,risk_adjusted,-0.4828960087635146,-0.0,4,4,True
9020.T,0.0,risk_adjusted,-0.3321573097912931,-0.0,4,4,True
3659.T,0.0,risk_adjusted,-0.7691582721657622,-0.0,4,4,True
8697.T,0.0,risk_adjusted,0.5060810732631245,0.0,4,4,True
6326.T,0.0,risk_adjusted,-0.010209716269807795,-0.0,4,4,True
9503.T,0.0,risk_adjusted,0.04248408218497217,0.0,4,4,True
2502.T,0.0,risk_adjusted,-0.6575251378243261,-0.0,4,4,True
9502.T,0.0,risk_adjusted,0.9082527280633146,0.0,4,4,True
9501.T,0.0,risk_adjusted,-0.9507368102482868,-0.0,4,4,True
6723.T,0.0,risk_adjusted,0.02434947108700329,0.0,4,4,True
9201.T,0.0,risk_adjusted,-0.6196617231422851,-0.0,4,4,True
8306.T,0.0,risk_adjusted,0.5822900228201721,0.0,4,4,True
7011.T,0.0,risk_adjusted,0.47736172161973617,0.0,4,4,True
3382.T,0.0,risk_adjusted,0.3222156736042096,0.0,4,4,True
6758.T,0.0,risk_adjusted,-0.4886380476683905,-0.0,4,4,True
7203.T,0.0,risk_adjusted,1.1194720364379596,0.0,4,4,True
6501.T,0.0,risk_adjusted,-0.3772806783241661,-0.0,4,4,True
1605.T,0.0,risk_adjusted,1.4378630650486275,0.0,4,4,True
7267.T,0.0,risk_adjusted,-0.07776567419209246,-0.0,4,4,True
