symbol,target_weight,family,family_score,weighted_contribution,factor_count_configured,factor_count_active,is_active_in_mode
9501.T,0.1456080423686492,fundamental,0.0,0.0,10,7,True
5401.T,0.1319312579691414,fundamental,0.0,0.0,10,7,True
7201.T,0.0787675240243366,fundamental,0.0,0.0,10,7,True
9434.T,0.0443926943248881,fundamental,0.0,0.0,10,7,True
9432.T,0.0322484859923325,fundamental,0.0,0.0,10,7,True
5411.T,0.0,fundamental,0.0,0.0,10,7,True
7751.T,0.0,fundamental,0.0,0.0,10,7,True
7733.T,0.0,fundamental,0.0,0.0,10,7,True
5020.T,0.0,fundamental,0.0,0.0,10,7,True
9202.T,0.0,fundamental,0.0,0.0,10,7,True
6988.T,0.0,fundamental,0.0,0.0,10,7,True
2503.T,0.0,fundamental,0.0,0.0,10,7,True
8830.T,0.0,fundamental,0.0,0.0,10,7,True
7832.T,0.0,fundamental,0.0,0.0,10,7,True
6506.T,0.0,fundamental,0.0,0.0,10,7,True
9020.T,0.0,fundamental,0.0,0.0,10,7,True
3659.T,0.0,fundamental,0.0,0.0,10,7,True
8697.T,0.0,fundamental,0.0,0.0,10,7,True
6326.T,0.0,fundamental,0.0,0.0,10,7,True
9503.T,0.0,fundamental,0.0,0.0,10,7,True
2502.T,0.0,fundamental,0.0,0.0,10,7,True
9502.T,0.0,fundamental,0.0,0.0,10,7,True
6723.T,0.0,fundamental,0.0,0.0,10,7,True
4755.T,0.0,fundamental,0.0,0.0,10,7,True
9201.T,0.0,fundamental,0.0,0.0,10,7,True
8306.T,0.0,fundamental,0.0,0.0,10,7,True
7011.T,0.0,fundamental,0.0,0.0,10,7,True
3382.T,0.0,fundamental,0.0,0.0,10,7,True
6758.T,0.0,fundamental,0.0,0.0,10,7,True
7203.T,0.0,fundamental,0.0,0.0,10,7,True
6501.T,0.0,fundamental,0.0,0.0,10,7,True
1605.T,0.0,fundamental,0.0,0.0,10,7,True
7267.T,0.0,fundamental,0.0,0.0,10,7,True
6702.T,0.0,fundamental,0.0,0.0,10,7,True
8001.T,0.0,fundamental,0.0,0.0,10,7,True
4568.T,0.0,fundamental,0.0,0.0,10,7,True
9433.T,0.0,fundamental,0.0,0.0,10,7,True
9107.T,0.0,fundamental,0.0,0.0,10,7,True
6752.T,0.0,fundamental,0.0,0.0,10,7,True
8591.T,0.0,fundamental,0.0,0.0,10,7,True
7269.T,0.0,fundamental,0.0,0.0,10,7,True
4901.T,0.0,fundamental,0.0,0.0,10,7,True
8725.T,0.0,fundamental,0.0,0.0,10,7,True
8801.T,0.0,fundamental,0.0,0.0,10,7,True
4503.T,0.0,fundamental,0.0,0.0,10,7,True
8802.T,0.0,fundamental,0.0,0.0,10,7,True
8604.T,0.0,fundamental,0.0,0.0,10,7,True
8267.T,0.0,fundamental,0.0,0.0,10,7,True
7270.T,0.0,fundamental,0.0,0.0,10,7,True
4661.T,0.0,fundamental,0.0,0.0,10,7,True
9501.T,0.1456080423686492,price,0.12037020284832561,0.017526869596261895,15,15,True
9432.T,0.0322484859923325,price,0.18853460348474355,0.0060799555195477145,15,15,True
7201.T,0.0787675240243366,price,0.07192890087782741,0.005665661427938396,15,15,True
5411.T,0.0,price,-0.4175231877793764,-0.0,15,15,True
7751.T,0.0,price,-0.6956302582314924,-0.0,15,15,True
7733.T,0.0,price,-0.3502653047234051,-0.0,15,15,True
5020.T,0.0,price,1.225905914616201,0.0,15,15,True
9202.T,0.0,price,-0.18353379221373564,-0.0,15,15,True
6988.T,0.0,price,-0.3543510625358279,-0.0,15,15,True
2503.T,0.0,price,-0.04030387651497631,-0.0,15,15,True
8830.T,0.0,price,0.48992708983445615,0.0,15,15,True
7832.T,0.0,price,-0.3565427958894894,-0.0,15,15,True
6506.T,0.0,price,-0.03732822004403378,-0.0,15,15,True
9020.T,0.0,price,-0.5275243013692968,-0.0,15,15,True
3659.T,0.0,price,-0.3761737617582618,-0.0,15,15,True
8697.T,0.0,price,0.07600625507532176,0.0,15,15,True
6326.T,0.0,price,0.26407570651623963,0.0,15,15,True
9503.T,0.0,price,-0.28665351902392283,-0.0,15,15,True
2502.T,0.0,price,-0.9492708911396027,-0.0,15,15,True
9502.T,0.0,price,0.1662833161755978,0.0,15,15,True
6723.T,0.0,price,0.3558922486933595,0.0,15,15,True
4755.T,0.0,price,-0.8271987869398263,-0.0,15,15,True
9201.T,0.0,price,-0.03446668884917828,-0.0,15,15,True
8306.T,0.0,price,0.2081032694624546,0.0,15,15,True
7011.T,0.0,price,0.910666982021003,0.0,15,15,True
3382.T,0.0,price,-0.17661876832939868,-0.0,15,15,True
6758.T,0.0,price,-0.7489415355686528,-0.0,15,15,True
7203.T,0.0,price,0.9188842615939109,0.0,15,15,True
6501.T,0.0,price,-0.03460024868692651,-0.0,15,15,True
1605.T,0.0,price,1.9657349414420593,0.0,15,15,True
7267.T,0.0,price,-0.6639134607245403,-0.0,15,15,True
6702.T,0.0,price,-0.42799919573805617,-0.0,15,15,True
8001.T,0.0,price,0.3097609364131483,0.0,15,15,True
4568.T,0.0,price,-0.32149579712678167,-0.0,15,15,True
9433.T,0.0,price,0.1820401284921079,0.0,15,15,True
9107.T,0.0,price,1.3661962796046474,0.0,15,15,True
6752.T,0.0,price,0.9195082329626502,0.0,15,15,True
8591.T,0.0,price,0.07648752258717864,0.0,15,15,True
7269.T,0.0,price,0.2074978732897518,0.0,15,15,True
4901.T,0.0,price,-0.5104686174427651,-0.0,15,15,True
8725.T,0.0,price,0.18931980330891668,0.0,15,15,True
