symbol,target_weight,family,family_score,weighted_contribution,factor_count_configured,factor_count_active,is_active_in_mode
9501.T,0.1359437560698521,fundamental,0.0,0.0,10,7,True
5401.T,0.1233147579912103,fundamental,0.0,0.0,10,7,True
7201.T,0.07256990922248,fundamental,0.0,0.0,10,7,True
9434.T,0.0448568618660188,fundamental,0.0,0.0,10,7,True
6723.T,0.0,fundamental,0.0,0.0,10,7,True
7832.T,0.0,fundamental,0.0,0.0,10,7,True
9201.T,0.0,fundamental,0.0,0.0,10,7,True
7751.T,0.0,fundamental,0.0,0.0,10,7,True
7733.T,0.0,fundamental,0.0,0.0,10,7,True
5020.T,0.0,fundamental,0.0,0.0,10,7,True
9202.T,0.0,fundamental,0.0,0.0,10,7,True
6988.T,0.0,fundamental,0.0,0.0,10,7,True
2503.T,0.0,fundamental,0.0,0.0,10,7,True
8830.T,0.0,fundamental,0.0,0.0,10,7,True
5411.T,0.0,fundamental,0.0,0.0,10,7,True
4755.T,0.0,fundamental,0.0,0.0,10,7,True
9020.T,0.0,fundamental,0.0,0.0,10,7,True
7011.T,0.0,fundamental,0.0,0.0,10,7,True
3659.T,0.0,fundamental,0.0,0.0,10,7,True
8697.T,0.0,fundamental,0.0,0.0,10,7,True
6326.T,0.0,fundamental,0.0,0.0,10,7,True
9503.T,0.0,fundamental,0.0,0.0,10,7,True
2502.T,0.0,fundamental,0.0,0.0,10,7,True
9502.T,0.0,fundamental,0.0,0.0,10,7,True
6506.T,0.0,fundamental,0.0,0.0,10,7,True
8306.T,0.0,fundamental,0.0,0.0,10,7,True
3382.T,0.0,fundamental,0.0,0.0,10,7,True
7270.T,0.0,fundamental,0.0,0.0,10,7,True
6758.T,0.0,fundamental,0.0,0.0,10,7,True
7203.T,0.0,fundamental,0.0,0.0,10,7,True
6501.T,0.0,fundamental,0.0,0.0,10,7,True
1605.T,0.0,fundamental,0.0,0.0,10,7,True
7267.T,0.0,fundamental,0.0,0.0,10,7,True
6702.T,0.0,fundamental,0.0,0.0,10,7,True
8001.T,0.0,fundamental,0.0,0.0,10,7,True
4568.T,0.0,fundamental,0.0,0.0,10,7,True
9433.T,0.0,fundamental,0.0,0.0,10,7,True
9107.T,0.0,fundamental,0.0,0.0,10,7,True
6752.T,0.0,fundamental,0.0,0.0,10,7,True
9432.T,0.0,fundamental,0.0,0.0,10,7,True
8591.T,0.0,fundamental,0.0,0.0,10,7,True
7269.T,0.0,fundamental,0.0,0.0,10,7,True
4901.T,0.0,fundamental,0.0,0.0,10,7,True
8725.T,0.0,fundamental,0.0,0.0,10,7,True
8801.T,0.0,fundamental,0.0,0.0,10,7,True
4503.T,0.0,fundamental,0.0,0.0,10,7,True
8802.T,0.0,fundamental,0.0,0.0,10,7,True
8604.T,0.0,fundamental,0.0,0.0,10,7,True
8267.T,0.0,fundamental,0.0,0.0,10,7,True
4661.T,0.0,fundamental,0.0,0.0,10,7,True
6723.T,0.0,price,0.3287280945057226,0.0,15,15,True
7832.T,0.0,price,-0.08298653641498785,-0.0,15,15,True
9201.T,0.0,price,-0.3731182489570976,-0.0,15,15,True
7751.T,0.0,price,-0.5897131761851907,-0.0,15,15,True
7733.T,0.0,price,-0.314708680548275,-0.0,15,15,True
5020.T,0.0,price,0.912441496345927,0.0,15,15,True
9202.T,0.0,price,-0.3685104628898007,-0.0,15,15,True
6988.T,0.0,price,-0.49353967096391266,-0.0,15,15,True
2503.T,0.0,price,-0.07646147051981038,-0.0,15,15,True
8830.T,0.0,price,0.37744163251838203,0.0,15,15,True
5411.T,0.0,price,-0.4846084390104979,-0.0,15,15,True
4755.T,0.0,price,-0.7848337566510903,-0.0,15,15,True
9020.T,0.0,price,-0.4411964250332692,-0.0,15,15,True
7011.T,0.0,price,0.6778214255416974,0.0,15,15,True
3659.T,0.0,price,-0.1856378157112965,-0.0,15,15,True
8697.T,0.0,price,0.28433324971800183,0.0,15,15,True
6326.T,0.0,price,0.05863744808359657,0.0,15,15,True
9503.T,0.0,price,-0.27386025958029847,-0.0,15,15,True
2502.T,0.0,price,-0.7613694690495028,-0.0,15,15,True
9502.T,0.0,price,0.4016008800860723,0.0,15,15,True
6506.T,0.0,price,-0.18144065837719114,-0.0,15,15,True
8306.T,0.0,price,0.23534013725241393,0.0,15,15,True
3382.T,0.0,price,-0.03420551522773785,-0.0,15,15,True
7270.T,0.0,price,-0.3753573406743632,-0.0,15,15,True
6758.T,0.0,price,-0.5348475536196214,-0.0,15,15,True
7203.T,0.0,price,0.9676972359695757,0.0,15,15,True
6501.T,0.0,price,0.2272737800130454,0.0,15,15,True
1605.T,0.0,price,2.040375856056079,0.0,15,15,True
7267.T,0.0,price,-0.6391652316427204,-0.0,15,15,True
6702.T,0.0,price,-0.4392246631457581,-0.0,15,15,True
8001.T,0.0,price,0.16654080312269146,0.0,15,15,True
4568.T,0.0,price,-0.27577372486466617,-0.0,15,15,True
9433.T,0.0,price,0.05096630794828427,0.0,15,15,True
9107.T,0.0,price,1.3632621694460882,0.0,15,15,True
6752.T,0.0,price,1.0107361824098695,0.0,15,15,True
9432.T,0.0,price,0.3897887090906073,0.0,15,15,True
8591.T,0.0,price,0.16245396753282063,0.0,15,15,True
7269.T,0.0,price,0.1234254786471145,0.0,15,15,True
4901.T,0.0,price,-0.5620954115767479,-0.0,15,15,True
8725.T,0.0,price,0.20959391753212456,0.0,15,15,True
8801.T,0.0,price,-0.8430745165143407,-0.0,15,15,True
4503.T,0.0,price,0.48686169798690554,0.0,15,15,True
8802.T,0.0,price,0.4656328839959591,0.0,15,15,True
8604.T,0.0,price,0.1678418184761206,0.0,15,15,True
8267.T,0.0,price,-0.6954544281292934,-0.0,15,15,True
4661.T,0.0,price,-0.38858580405928755,-0.0,15,15,True
7201.T,0.07256990922248,price,-0.07660014229960631,-0.00555886537311148,15,15,True
9501.T,0.1359437560698521,price,-0.12774062050577398,-0.017365539754248486,15,15,True
9434.T,0.0448568618660188,price,-0.4407550170388915,-0.01977088691606832,15,15,True
5401.T,0.1233147579912103,price,-0.2639301330880698,-0.03254648048834325,15,15,True
6723.T,0.0,risk_adjusted,0.3783626556445952,0.0,4,4,True
7832.T,0.0,risk_adjusted,0.2796513536615483,0.0,4,4,True
9201.T,0.0,risk_adjusted,-0.7827716060109879,-0.0,4,4,True
7751.T,0.0,risk_adjusted,-0.10579777248177524,-0.0,4,4,True
7733.T,0.0,risk_adjusted,-0.96984933816418,-0.0,4,4,True
5020.T,0.0,risk_adjusted,0.5782100001952629,0.0,4,4,True
9202.T,0.0,risk_adjusted,-0.33206460349104616,-0.0,4,4,True
6988.T,0.0,risk_adjusted,-0.5646488600396125,-0.0,4,4,True
2503.T,0.0,risk_adjusted,0.5793231770420072,0.0,4,4,True
8830.T,0.0,risk_adjusted,0.18973519801625807,0.0,4,4,True
5411.T,0.0,risk_adjusted,-0.35210991090689314,-0.0,4,4,True
4755.T,0.0,risk_adjusted,-1.0596981059443027,-0.0,4,4,True
9020.T,0.0,risk_adjusted,-0.456730232755476,-0.0,4,4,True
7011.T,0.0,risk_adjusted,0.6893631378739125,0.0,4,4,True
3659.T,0.0,risk_adjusted,-0.8817259849561423,-0.0,4,4,True
8697.T,0.0,risk_adjusted,0.6157789282772577,0.0,4,4,True
6326.T,0.0,risk_adjusted,0.03957974714347501,0.0,4,4,True
9503.T,0.0,risk_adjusted,-0.48321470546935424,-0.0,4,4,True
2502.T,0.0,risk_adjusted,-0.7011026751730876,-0.0,4,4,True
9502.T,0.0,risk_adjusted,1.0602658316026352,0.0,4,4,True
6506.T,0.0,risk_adjusted,-0.13599960442677078,-0.0,4,4,True
8306.T,0.0,risk_adjusted,0.5017089292849548,0.0,4,4,True
3382.T,0.0,risk_adjusted,-0.2861679104132214,-0.0,4,4,True
7270.T,0.0,risk_adjusted,-0.944139130731752,-0.0,4,4,True
6758.T,0.0,risk_adjusted,-0.6770563755321716,-0.0,4,4,True
7203.T,0.0,risk_adjusted,1.0603592762938248,0.0,4,4,True
6501.T,0.0,risk_adjusted,-0.011811834154170725,-0.0,4,4,True
1605.T,0.0,risk_adjusted,1.42380629319346,0.0,4,4,True
7267.T,0.0,risk_adjusted,-0.07523350536033829,-0.0,4,4,True
6702.T,0.0,risk_adjusted,-0.46838376428928236,-0.0,4,4,True
8001.T,0.0,risk_adjusted,0.2948625376865349,0.0,4,4,True
4568.T,0.0,risk_adjusted,-0.27461280474061167,-0.0,4,4,True
9433.T,0.0,risk_adjusted,-0.727128419767253,-0.0,4,4,True
9107.T,0.0,risk_adjusted,1.4573661454197229,0.0,4,4,True
6752.T,0.0,risk_adjusted,1.1791878754954292,0.0,4,4,True
9432.T,0.0,risk_adjusted,1.0012479389177156,0.0,4,4,True
8591.T,0.0,risk_adjusted,0.022580367364519516,0.0,4,4,True
7269.T,0.0,risk_adjusted,0.03881265702477754,0.0,4,4,True
4901.T,0.0,risk_adjusted,-0.671529792929392,-0.0,4,4,True
8725.T,0.0,risk_adjusted,0.29840659967365246,0.0,4,4,True
8801.T,0.0,risk_adjusted,-0.5632164164296709,-0.0,4,4,True
4503.T,0.0,risk_adjusted,0.5936738052363562,0.0,4,4,True
8802.T,0.0,risk_adjusted,0.373481218413413,0.0,4,4,True
8604.T,0.0,risk_adjusted,-0.1448615777550451,-0.0,4,4,True
8267.T,0.0,risk_adjusted,-0.588738656407554,-0.0,4,4,True
4661.T,0.0,risk_adjusted,0.9067861145629615,0.0,4,4,True
7201.T,0.07256990922248,risk_adjusted,-0.07979929722651213,-0.0057910277557456855,4,4,True
9434.T,0.0448568618660188,risk_adjusted,-0.2741195191504625,-0.012296141405311793,4,4,True
5401.T,0.1233147579912103,risk_adjusted,-0.3729862571839283,-0.045994710038683446,4,4,True
9501.T,0.1359437560698521,risk_adjusted,-0.5770511261332816,-0.07844649753089629,4,4,True
