order_id,symbol,side,qty,order_type,limit_price,expected_value,status,created_ts,fill_qty,fill_notional,fee,tax,n_fills,vwap,qty_diff
2026-03-12__3cbb917d9b__001,4005.T,SELL,100.0,MKT,,48250.0,filled,2026-04-05T01:15:46,100.0,48225.875,48.225875,0.0,1,482.25875,0.0
2026-03-12__3cbb917d9b__000,5401.T,SELL,100.0,MKT,,60209.99755859375,filled,2026-04-05T01:15:46,100.0,60179.89260000001,60.179893,0.0,1,601.798926,0.0
