date,9432.T,9433.T,2914.T,3382.T
2021-02-17,0.24960584598746594,0.2505064455361169,0.25096411371382576,0.2489235947625914
2021-02-18,0.24768969990114567,0.2452748273900411,0.2507818072530093,0.24428406638232647
2021-02-19,0.2513435246190309,0.2494570210564404,0.24845131293114772,0.24169608468100845
2021-02-22,0.251028871349744,0.24850256884549027,0.25016513803998597,0.24318296938526401
2021-02-24,0.2503159675157134,0.24735772041634468,0.24922410748870297,0.24743539054611566
2021-02-25,0.2507979268758508,0.24818206025838588,0.25192047353536307,0.24438940202161594
2021-02-26,0.25431526909533936,0.24628735284449357,0.25402886806168695,0.24154115401170817
2021-03-01,0.25619040504420143,0.24226800014860175,0.25061965281857335,0.24810863232485914
2021-03-02,0.25767977132165815,0.24358914626735342,0.2513749771149964,0.2449926605078138
2021-03-03,0.25546654443784506,0.24277789087121548,0.25029594301981956,0.24959289285712494
2021-03-04,0.2533898823684503,0.24188134348976803,0.25173625778949316,0.25111307314083486
2021-03-05,0.25310647410210063,0.24206875431365607,0.2518934644037803,0.2510808190787909
2021-03-08,0.2499380131181712,0.2444059766690388,0.25386378824523353,0.2499645680379169
2021-03-09,0.2476922445722057,0.24143913384570712,0.25488763818298105,0.25418729185239
2021-03-10,0.24886632111508447,0.24742071170624733,0.2534557108827533,0.2484802392334273
2021-03-11,0.2496846398195723,0.2480120180566305,0.253015521192671,0.24749577067080142
2021-03-12,0.2503209903798158,0.24767188399773876,0.253563824674741,0.24665936680747017
2021-03-15,0.24878366120400391,0.24720975914397586,0.25253152454178446,0.24971017579452728
2021-03-16,0.24906077708292573,0.24836902919871454,0.25257423328074463,0.24824967068934992
2021-03-17,0.2517924696691521,0.24568759365125162,0.2537385354223916,0.2470338614394539
2021-03-18,0.2525864762728899,0.2469568599342182,0.2563957765162663,0.24406088727662556
2021-03-19,0.2511256110017879,0.24119849057983714,0.25821045341577686,0.24133672633425357
2021-03-22,0.25453758578974117,0.2409754516304734,0.2583588409489406,0.23988498186692062
2021-03-23,0.2565115934912937,0.24114785086922988,0.25571380164412744,0.24183661163248302
2021-03-24,0.0,0.0,0.0,0.0
2021-03-25,0.0,0.0,0.0,0.0
2021-03-26,0.0,0.0,0.0,0.0
2021-03-29,0.0,0.0,0.0,0.0
2021-03-30,0.0,0.0,0.0,0.0
2021-03-31,0.0,0.0,0.0,0.0
2021-04-01,0.0,0.0,0.0,0.0
2021-04-02,0.0,0.0,0.0,0.0
2021-04-05,0.0,0.0,0.0,0.0
2021-04-06,0.0,0.0,0.0,0.0
2021-04-07,0.0,0.0,0.0,0.0
2021-04-08,0.0,0.0,0.0,0.0
2021-04-09,0.0,0.0,0.0,0.0
2021-04-12,0.0,0.0,0.0,0.0
2021-04-13,0.0,0.0,0.0,0.0
2021-04-14,0.0,0.0,0.0,0.0
2021-04-15,0.2503660085389328,0.2505576998798845,0.25169931602269247,0.24737697555849023
2021-04-16,0.2526379799828333,0.24786648120711646,0.2529573157016338,0.2368990389668886
2021-04-19,0.251724089660062,0.24720160703167682,0.2568356342857986,0.23699953998461076
2021-04-20,0.0,0.0,0.0,0.0
2021-04-21,0.0,0.0,0.0,0.0
2021-04-22,0.0,0.0,0.0,0.0
2021-04-23,0.0,0.0,0.0,0.0
2021-04-26,0.0,0.0,0.0,0.0
2021-04-27,0.0,0.0,0.0,0.0
2021-04-28,0.0,0.0,0.0,0.0
2021-04-30,0.0,0.0,0.0,0.0
2021-05-06,0.0,0.0,0.0,0.0
2021-05-07,0.0,0.0,0.0,0.0
2021-05-10,0.0,0.0,0.0,0.0
2021-05-11,0.0,0.0,0.0,0.0
