order_id,symbol,side,qty,order_type,limit_price,expected_value,status,created_ts,fill_qty,fill_notional,fee,tax,n_fills,vwap,qty_diff
2026-02-26__4c7a9ba20d__000,5401.T,BUY,100.0,MKT,,62570.001220703125,filled,2026-04-03T23:51:43,100.0,62601.2862,62.601286,0.0,1,626.012862,0.0
2026-02-26__4c7a9ba20d__001,7201.T,BUY,100.0,MKT,,42620.001220703125,filled,2026-04-03T23:51:43,100.0,42641.311200000004,42.641311,0.0,1,426.413112,0.0
2026-02-26__4c7a9ba20d__002,9432.T,BUY,100.0,MKT,,15210.000610351562,filled,2026-04-03T23:51:43,100.0,15217.605599999999,15.217606,0.0,1,152.176056,0.0
